STATCD,STATNAME,SCH1,SCH2,SCH3,SCH4,SCH5,SCH6,SCH7,SCH9,SCHTOT,SCH1GA,SCH2GA,SCH3GA,SCH4GA,SCH5GA,SCH6GA,SCH7GA,SCH9GA,SCHTOTGA,SCHBOY1,SCHBOY2,SCHBOY3,SCHBOY4,SCHBOY5,SCHBOY6,SCHBOY7,SCHBOY9,SCHBOYTOT,SCHGIR1,SCHGIR2,SCHGIR3,SCHGIR4,SCHGIR5,SCHGIR6,SCHGIR7,SCHGIR9,SCHGIRTOT,ENR1,ENR2,ENR3,ENR4,ENR5,ENR6,ENR7,ENR9,ENRTOT,TCH1,TCH2,TCH3,TCH4,TCH5,TCH6,TCH7,TCH9,TCHTOT,SCLS1,SCLS2,SCLS3,SCLS4,SCLS5,SCLS6,SCLS7,SCLSTOT,STCH1,STCH2,STCH3,STCH4,STCH5,STCH6,STCH7,STCHTOT,ROAD1,ROAD2,ROAD3,ROAD4,ROAD5,ROAD6,ROAD7,ROADTOT,SPLAY1,SPLAY2,SPLAY3,SPLAY4,SPLAY5,SPLAY6,SPLAY7,SPLAYTOT,SBNDR1,SBNDR2,SBNDR3,SBNDR4,SBNDR5,SBNDR6,SBNDR7,SBNDRTOT,SGTOIL1,SGTOIL2,SGTOIL3,SGTOIL4,SGTOIL5,SGTOIL6,SGTOIL7,SGTOILTOT,SBTOIL1,SBTOIL2,SBTOIL3,SBTOIL4,SBTOIL5,SBTOIL6,SBTOIL7,SBTOILTOT,SWAT1,SWAT2,SWAT3,SWAT4,SWAT5,SWAT6,SWAT7,SWATTOT,SELE1,SELE2,SELE3,SELE4,SELE5,SELE6,SELE7,SELETOT,SCOMP1,SCOMP2,SCOMP3,SCOMP4,SCOMP5,SCOMP6,SCOMP7,SCOMPTOT,SRAM1,SRAM2,SRAM3,SRAM4,SRAM5,SRAM6,SRAM7,SRAM9,SRAMTOT,SRAMN1,SRAMN2,SRAMN3,SRAMN4,SRAMN5,SRAMN6,SRAMN7,SRAMN9,SRAMNTOT,ESTD1,ESTD2,ESTD3,ESTD4,ESTD5,ESTD6,ESTD7,ESTDTOT,MDM1,MDM2,MDM3,MDM4,MDM5,MDM6,MDM7,MDMTOT,KIT1,KIT2,KIT3,KIT4,KIT5,KIT6,KIT7,KITTOT,KITS1,KITS2,KITS3,KITS4,KITS5,KITS6,KITS7,KITSTOT,ENR501,ENR502,ENR503,ENR504,ENR505,ENR506,ENR507,ENR509,ENR50TOT,SMC1,SMC2,SMC3,SMC4,SMC5,SMC6,SMC7,SMCTOT,CLS1,CLS2,CLS3,CLS4,CLS5,CLS6,CLS7,CLSTOT,TCHF1,TCHF2,TCHF3,TCHF4,TCHF5,TCHF6,TCHF7,TCHF9,TCHFTOT,TCHM1,TCHM2,TCHM3,TCHM4,TCHM5,TCHM6,TCHM7,ENRG1,ENRG2,ENRG3,ENRG4,ENRG5,ENRG6,ENRG7,ENRG9,ENRGTOT,C1_B,C2_B,C3_B,C4_B,C5_B,C6_B,C7_B,C8_B,C9_B,C1_G,C2_G,C3_G,C4_G,C5_G,C6_G,C7_G,C8_G,C9_G,OVERALL_LI
11,SIKKIM,706,345,80,1,7,136,4,0,1279,489,188,69,1,7,115,4,0,873,705,345,77,1,7,136,3,0,1274,628,342,79,1,5,136,4,0,1195,20105,34380,25106,139,759,24300,508,0,105297,4205,4495,3364,6,92,2869,46,0,15077,9,0,0,0,1,0,0,10,3,0,0,0,0,0,0,3,559,307,80,0,5,124,4,1079,410,268,69,1,5,115,2,870,188,143,45,1,4,59,2,442,627,341,79,1,5,136,4,1193,704,344,77,1,7,136,3,1272,689,343,80,1,7,136,4,1260,485,319,80,1,6,131,4,1026,261,293,79,0,7,131,1,772,94,41,15,0,0,24,0,0,174,125,68,15,0,0,24,0,0,232,240,80,1,1,1,6,3,332,486,186,64,1,4,113,1,855,449,182,64,1,4,110,1,811,475,184,64,1,4,113,1,842,651,61,0,0,3,5,1,0,721,484,187,67,1,6,114,4,863,3493,3029,1167,3,46,1390,25,9153,2218,2600,1879,3,19,1500,18,0,8237,1987,1895,1485,3,73,1369,28,8757,16640,13061,74,400,12068,351,0,51351,6186,5835,6107,6844,7227,7816,6951,6980,7749,5312,4998,5451,6088,6759,8010,7393,7340,8366,82.2
12,ARUNACHAL PRADESH,2363,1216,67,50,53,224,39,0,4012,2200,976,47,50,52,160,39,0,3524,2355,1197,67,2,53,220,28,0,3922,2363,1211,66,50,53,224,39,0,4006,83247,153355,19574,4658,6697,51319,3608,0,322458,5471,9283,1393,407,1132,3430,468,0,21584,145,4,0,0,3,0,0,152,1008,75,0,0,0,0,0,1083,1357,913,61,35,49,196,35,2646,627,633,59,15,38,166,26,1564,985,794,56,30,42,174,27,2108,2231,1206,66,50,53,223,38,3867,2203,1183,66,2,51,219,26,3750,1745,1096,67,48,51,219,38,3264,450,589,60,40,45,175,29,1388,96,501,63,25,52,193,33,963,473,302,16,11,14,51,13,0,880,401,277,16,6,12,50,16,0,778,1506,432,13,49,4,36,18,2058,2037,956,36,15,40,150,25,3259,1195,668,33,8,22,119,16,2061,1959,929,36,15,38,150,23,3150,1852,285,4,6,9,6,7,35,2169,2008,953,41,43,46,149,37,3277,8564,9020,820,202,304,2022,206,21138,2252,4227,492,242,324,1538,165,0,9240,3219,5056,901,165,808,1892,303,41009,74770,8946,4591,3278,24364,2170,0,159128,29655,23955,21430,19573,18573,17513,16391,16240,15192,27569,22965,20409,18930,18171,17988,16844,16252,13959,66.95
13,NAGALAND,1265,786,105,39,46,379,179,0,2799,1146,590,6,39,44,89,178,0,2092,1265,786,103,39,46,379,179,0,2797,1265,786,105,39,45,379,179,0,2798,63665,102241,66347,2489,5919,95156,13769,110,349696,7392,8861,3375,299,1438,6529,2426,0,30320,4,0,0,0,0,0,1,5,47,0,0,1,0,0,0,48,982,643,103,32,40,349,149,2298,427,369,84,17,25,250,91,1263,793,518,99,21,33,311,121,1896,1263,786,105,38,45,379,179,2795,1248,773,102,38,46,374,179,2760,959,665,99,32,38,354,147,2294,251,471,104,23,40,333,115,1337,70,365,103,30,41,346,157,1112,369,288,11,20,10,47,40,0,785,334,261,10,19,11,43,41,0,719,414,112,7,6,6,54,19,618,1039,553,1,34,36,71,154,1888,869,497,1,30,32,67,137,1633,985,540,1,34,35,69,148,1812,741,99,2,18,6,20,56,26,942,1127,577,5,38,43,82,172,2044,6588,6152,1772,167,256,3639,781,19355,3564,4532,2108,102,702,3607,743,0,15358,3828,4329,1267,197,736,2922,1683,31830,51191,32048,1312,3037,44844,7135,63,171460,26272,25173,24391,23943,22040,20126,18805,17486,18305,24558,24307,23444,23088,20864,19899,18345,16955,18001,80.11
14,MANIPUR,2951,870,100,63,22,706,153,0,4865,2857,531,23,52,18,256,144,0,3881,2948,867,99,52,22,699,142,0,4829,2948,869,100,63,21,705,153,0,4859,115401,102253,56022,4000,3835,207669,13416,0,502596,11874,8319,3189,392,703,12531,1928,0,38936,29,0,0,0,2,2,2,35,324,6,0,0,0,0,0,330,2314,787,100,60,22,657,144,4084,1267,558,87,38,15,514,123,2602,401,343,82,28,20,441,97,1412,2897,865,100,61,21,705,150,4799,2900,860,99,47,22,698,139,4765,2946,864,100,63,22,700,153,4848,246,466,100,27,21,587,115,1562,64,360,96,25,21,588,115,1269,1162,330,26,11,13,215,87,0,1844,1192,330,16,12,10,211,82,0,1853,959,132,13,25,3,100,5,1237,2566,527,16,32,9,248,137,3535,1036,259,12,16,7,115,71,1516,2289,488,16,31,8,235,135,3202,2318,232,2,24,2,39,61,128,2678,2857,529,21,52,18,255,144,3876,10935,6594,1456,247,124,7014,604,26974,5707,4150,1596,170,326,6259,993,0,19201,6167,4169,1593,222,377,6272,935,57881,50696,26922,2566,1723,101535,7361,0,248684,39987,37988,34251,31882,30664,27712,25816,25612,22114,39543,36913,33204,31041,29847,26883,26156,25097,21612,79.85
15,MIZORAM,1561,389,0,1122,0,0,0,0,3072,1318,4,0,1033,0,0,0,0,2355,1560,389,0,1118,0,0,0,0,3067,1561,389,0,1122,0,0,0,0,3072,82263,69171,0,62883,0,0,0,0,214317,6189,4272,0,8021,0,0,0,0,18482,6,0,0,1,0,0,0,7,70,1,0,6,0,0,0,77,1473,379,0,1046,0,0,0,2898,977,210,0,784,0,0,0,1971,818,199,0,637,0,0,0,1654,1546,386,0,1116,0,0,0,3048,1521,377,0,1097,0,0,0,2995,1430,363,0,1055,0,0,0,2848,769,308,0,786,0,0,0,1863,133,189,0,588,0,0,0,910,703,29,0,597,0,0,0,0,1329,552,120,0,530,0,0,0,0,1202,361,257,0,360,0,0,0,978,1317,1,0,1025,0,0,0,2343,1276,1,0,1000,0,0,0,2277,1300,1,0,1022,0,0,0,2323,971,55,0,632,0,0,0,753,1658,1317,1,0,1026,0,0,0,2344,6593,3267,0,4575,0,0,0,14435,3094,2446,0,3069,0,0,0,0,8609,3095,1826,0,4952,0,0,0,39412,33591,0,30260,0,0,0,0,103263,20235,15140,14117,13197,12533,12564,12005,11263,11200,18861,14226,13110,12154,11744,11634,11238,10296,10910,91.58
16,TRIPURA,2568,1261,343,1,68,593,10,0,4844,2267,1169,317,1,68,539,9,0,4370,2563,1261,338,1,60,592,6,0,4821,2566,1260,339,1,64,593,10,0,4833,119158,147599,150077,172,11310,140421,775,0,569512,10638,12577,11239,13,1690,10339,117,0,46613,141,6,1,0,0,1,0,149,8,0,0,0,0,0,0,8,1931,998,332,1,65,561,10,3898,1334,832,290,1,60,478,7,3002,238,210,232,0,45,206,5,936,2559,1260,339,1,64,593,10,4826,2552,1260,335,1,60,592,6,4806,2196,1157,340,1,68,581,9,4352,327,175,336,1,67,451,9,1366,116,75,290,1,62,207,7,758,1082,604,256,0,49,409,7,0,2407,351,272,117,1,24,189,3,0,957,1378,129,9,1,5,22,3,1547,2252,1165,308,0,63,535,8,4331,1965,1097,299,0,57,519,8,3945,2204,1159,307,0,63,532,8,4273,1764,186,2,0,2,6,3,0,1963,2267,1169,315,1,67,537,9,4365,9961,8411,2669,7,330,3634,34,25046,2856,3065,4237,7,475,2889,60,0,13589,7782,9512,7002,6,1215,7450,57,58998,72409,73062,87,4602,69660,504,0,279322,34340,37372,37592,38916,39326,35344,34455,32845,42436,32290,35533,36147,37380,37972,34083,33694,32223,42097,87.75
17,MEGHALAYA,9362,183,29,3414,31,107,151,0,13277,7940,21,15,3189,28,22,130,0,11345,9351,183,26,3369,28,107,144,0,13208,9355,182,28,3408,31,105,150,0,13259,492670,28805,16099,177965,7340,28520,23371,843,775613,23517,1479,1026,14089,693,1538,1806,0,44148,1788,2,0,201,0,0,7,1998,980,1,0,16,0,0,0,997,4986,143,29,2124,30,100,139,7551,2743,94,25,1332,25,70,103,4392,1304,94,29,640,20,79,88,2254,7869,134,27,3060,30,96,133,11349,8087,134,25,3080,28,99,128,11581,5819,112,29,2096,31,93,134,8314,1115,98,29,1215,28,93,127,2705,331,50,26,676,27,71,103,1284,3099,11,7,1441,10,9,36,0,4613,2395,14,12,1149,10,14,38,0,3632,2864,112,4,1927,0,38,17,4962,7841,20,2,3117,6,6,67,11059,6979,19,1,2559,5,5,59,9627,7686,20,1,3017,6,6,66,10802,6048,27,0,2253,1,10,27,1231,8366,7868,21,10,3144,17,12,98,11170,26899,1276,374,11129,199,971,627,41475,13451,1077,698,6628,355,1106,916,0,24231,10066,402,328,7461,338,432,890,245621,15094,8352,93654,3656,13559,12872,485,393293,73435,57958,53655,47614,41870,40211,35253,32324,27487,70941,56087,53391,48690,44089,43739,39616,36740,30880,75.48
18,ASSAM,48529,2041,248,11410,687,1677,1302,0,65894,40485,960,69,10697,668,34,1160,0,54073,48412,2024,243,10590,643,1672,1058,0,64642,48444,2011,247,11377,652,1675,1268,0,65674,3185019,281337,120028,1086079,151711,422692,185187,0,5432053,133900,19917,5614,77458,18370,26239,20503,0,302001,11827,47,6,515,12,32,32,12471,1301,24,3,5,0,3,1,1337,39025,1862,223,9826,637,1563,1199,54335,25572,1136,191,7906,504,1034,828,37171,12343,1087,215,2459,542,1322,774,18742,41852,1725,235,8266,618,1534,1142,55372,41550,1703,221,7526,577,1476,876,53929,41077,1902,239,9819,673,1616,1242,56568,5027,1094,228,3456,642,1322,1081,12850,571,606,194,2064,567,895,834,5731,32068,950,48,4935,145,94,250,0,38490,22636,762,62,3826,159,199,324,0,27968,6029,871,104,604,25,810,58,8501,40209,953,2,10285,628,7,1100,53184,29765,707,2,4399,424,6,677,35980,39136,931,2,9925,620,7,1077,51698,25480,329,7,4200,41,106,229,5148,30392,40444,956,44,10660,543,20,898,53565,128723,14504,3514,41269,4331,15752,5950,214043,49893,8444,3109,19555,6626,14422,7150,0,109199,84007,11473,2505,57903,11744,11817,13353,1606264,131035,55567,583847,67005,183652,100285,0,2727655,458271,384357,361830,342266,329833,294495,274672,258674,262049,440217,375054,356128,340524,332441,309824,294201,279266,281388,73.18
19,WEST BENGAL,76703,1439,601,7400,6284,363,2933,0,95723,67129,139,138,6895,5958,45,2686,0,82990,76320,1403,544,6834,5282,350,2199,0,92932,76409,1380,544,7358,5803,343,2718,0,94555,6209401,241326,305455,974846,4184499,102049,891458,0,12909034,300391,14472,17553,29092,162379,5331,36428,0,565646,5003,28,7,557,1,0,4,5600,3037,5,3,458,0,1,6,3510,67607,1306,574,6366,5871,320,2647,84691,28263,696,393,3112,4337,233,1618,38652,29839,954,528,2061,5254,283,2043,40962,74961,1308,535,7286,5801,331,2718,92940,74438,1297,508,6756,5273,334,2191,90797,75495,1399,601,7172,6268,360,2912,94207,54594,1161,581,3845,6119,323,2724,69347,3597,598,455,738,5023,232,1481,12124,44789,177,175,2845,5212,81,2193,0,55472,27448,162,132,2643,3458,58,1415,0,35316,16115,628,99,6521,93,131,142,23729,66413,100,65,6462,5860,17,2631,81548,55965,54,39,4615,4742,10,1977,67402,63890,85,46,6087,5573,13,2406,78100,29059,388,90,1428,51,76,179,13,31271,33428,103,72,4185,5250,29,2328,45395,294360,12365,9728,28340,78017,3910,22878,449598,139215,6226,10708,6506,60148,2544,15854,0,241201,161062,8197,6790,22572,102210,2785,20574,3033770,104855,146976,533658,2057555,45222,527554,0,6449590,867179,845326,645835,975056,815265,781070,770251,759462,704316,828335,805724,586723,939090,823264,805324,818868,842262,824402,77.08
20,JHARKHAND,28010,15784,375,133,407,2084,648,0,47441,26291,13152,58,73,377,1387,233,0,41571,27968,15638,369,79,186,2057,496,0,46793,27964,15665,369,125,399,2053,609,0,47184,1736877,3488010,345831,19344,53962,761197,114351,2496,6522068,57498,85359,10566,491,2878,19836,5238,0,181866,295,37,3,13,14,8,37,407,7248,469,6,11,13,24,9,7780,12316,10071,338,105,349,1582,545,25306,10411,6502,319,79,242,1155,502,19210,4896,6243,340,77,301,1225,445,13527,26890,15322,363,100,376,2028,586,45665,26869,15216,363,75,165,2020,458,45166,25699,15139,372,117,379,2029,625,44360,1774,3552,326,61,264,858,338,7173,976,2066,311,36,264,676,325,4654,11949,8950,114,28,72,1068,106,0,22287,7825,4622,58,28,87,555,95,0,13270,19641,2463,71,38,308,246,76,22843,26063,13081,25,34,119,1335,158,40815,16050,10268,14,23,73,1096,73,27597,25725,12894,25,34,107,1322,141,40248,13685,686,5,56,70,28,129,1077,14659,26181,13073,43,31,267,1349,177,41121,92258,125475,7618,556,2004,20625,3254,251790,17967,27840,5446,198,1491,7238,1803,0,61983,39531,57519,5120,293,1387,12597,3435,867513,1731749,141729,10002,38561,366975,60042,1204,3217775,502645,454995,453864,431801,431012,357109,342991,329876,273221,474538,430605,438143,417088,418836,356170,345606,336789,266011,67.63
21,ODISHA,36760,18797,157,3998,60,1927,7279,0,68978,35017,16364,37,3827,55,1420,6616,0,63336,36671,18735,152,3925,56,1853,6471,0,67863,36694,18780,155,3985,59,1926,7150,0,68749,1894396,2872629,133333,320954,12040,555882,538850,0,6328084,96919,119475,5144,11845,980,23945,56680,0,314988,2379,156,1,123,9,32,3707,6407,2084,62,2,292,0,2,11,2453,32025,17422,146,3796,58,1779,6997,62223,6906,5716,130,1963,53,827,5313,20908,21746,14504,142,2761,60,1612,5636,46461,35754,18514,150,3637,59,1885,6781,66780,34346,17956,144,3500,55,1798,5879,63678,36497,18755,157,3977,60,1921,7251,68618,5136,8044,145,1301,57,1242,5039,20964,1365,3654,124,371,50,920,3418,9902,24226,14093,57,2477,23,1243,2599,0,44718,15123,8187,49,1497,24,748,2268,0,27896,11942,2087,48,66,25,137,207,14512,34779,16272,7,3787,27,1388,6276,62536,23199,12750,4,2564,19,1102,3651,43289,32803,15602,7,3615,25,1331,5939,59322,23213,1727,3,1307,3,31,3281,1322,29565,34697,16156,33,3785,40,1398,5996,62105,102132,107485,2904,11034,323,13914,16690,254482,43864,57775,3067,4044,321,10768,16118,0,135957,53055,61700,2077,7801,659,13177,40562,933493,1379598,59212,155183,5241,259562,266093,0,3058382,410360,421063,423502,433764,435458,406781,378587,360187,327909,384212,396692,397586,403289,405124,377767,352035,341677,320664,73.45
22,CHHATTISGARH,32826,2658,1082,12014,334,540,1251,0,50705,31142,227,45,11864,275,8,1226,0,44787,32289,2580,1078,11479,321,539,1248,0,49534,32227,2586,1080,11652,317,538,1251,0,49651,2102010,455998,443047,1113968,47001,145199,149911,221,4457355,100790,23211,21572,48688,3526,7258,9682,0,214727,1002,8,7,109,8,3,15,1152,2000,14,0,517,1,2,14,2548,28175,2561,1070,11056,325,526,1180,44893,16248,1966,951,7063,239,441,762,27670,19098,2164,989,7410,204,478,635,30978,31957,2576,1080,11613,317,537,1251,49331,31803,2510,1078,11400,321,538,1248,48898,32508,2629,1080,11950,334,539,1251,50291,19240,2384,1075,8387,289,515,943,32833,991,1154,858,1768,167,353,261,5552,22719,867,319,8685,174,163,874,0,33801,14821,894,343,5449,169,197,645,0,22518,8177,1785,395,7203,147,241,449,18397,30840,206,19,11784,236,4,1215,44304,25041,155,8,8875,152,1,976,35208,29114,198,11,10877,211,3,1132,41546,16935,297,22,3425,50,18,139,3074,20886,30889,216,37,11812,258,5,1222,44439,105689,21162,12374,41885,1558,4835,4555,192058,38178,15707,13664,15654,1412,4598,3546,0,92759,62612,7504,7908,33034,2114,2660,6136,1051793,204893,198694,569304,20549,64711,75077,100,2185121,290797,282235,275056,286001,294366,293017,278196,272566,268035,275625,268807,262229,274406,283483,282756,272678,265137,262051,71.04
23,MADHYA PRADESH,88593,16679,3741,30597,244,2688,45,0,142587,84398,192,160,30465,138,32,8,0,115393,85182,16636,3699,29084,226,2678,41,0,137546,85890,16662,3733,29457,211,2683,43,0,138679,5089254,2266425,1586388,3119622,27565,706994,2795,2926,12801969,223200,124291,62503,82326,3213,32701,375,0,528609,3768,92,52,459,12,33,0,4416,12555,441,25,5870,2,22,0,18915,77168,16126,3687,27986,238,2641,43,127889,53398,13906,3524,19872,223,2478,43,93444,31124,14265,3551,11788,231,2436,41,63436,82630,16549,3731,28281,211,2683,43,134128,81536,16540,3697,27742,226,2672,41,132454,84838,16636,3739,29140,244,2686,45,137328,8567,13961,3587,6210,232,2543,40,35140,2566,8544,3281,4079,185,2122,29,20806,59305,8686,2520,22896,160,1679,31,0,95277,32735,6700,1822,12386,114,1176,22,0,54955,11846,11340,1144,14835,45,1325,15,40550,82889,68,18,29858,36,4,2,112875,49989,21,4,15204,14,1,2,65235,62269,32,8,22417,19,2,2,84749,49191,2955,152,7160,87,133,21,8162,59699,83959,89,79,30268,85,16,4,114500,291747,130566,45622,119699,1526,25367,225,614752,75262,71475,38565,25155,1174,19321,148,0,231100,147938,52816,23938,57171,2039,13380,227,2548448,955864,670665,1624745,10073,287402,1001,1131,6099329,849961,855486,855785,873562,839961,838100,819549,770236,784793,759735,776327,775925,784007,740107,757697,764392,741139,682261,70.63
24,GUJARAT,11840,28827,1503,815,220,680,166,0,44051,10699,22868,179,545,157,34,151,0,34633,11773,27718,1479,681,207,672,123,0,42653,11793,27852,1482,758,208,669,159,0,42921,777368,7042340,850575,149126,35434,221182,14689,0,9090714,35010,237431,34474,4492,3809,8823,992,0,325031,309,114,5,10,13,3,52,506,464,192,0,20,1,0,1,678,10957,28300,1498,807,218,675,162,42617,8027,22684,1445,752,213,648,125,33894,10367,27422,1470,782,209,651,131,41032,11787,27844,1482,758,208,669,159,42907,11757,27684,1479,681,207,672,123,42603,11836,28809,1503,815,220,680,166,44029,11744,28786,1503,815,220,680,166,43914,3328,26164,1457,658,202,627,87,32523,10774,24914,752,517,130,299,89,0,37475,6075,16291,801,460,132,337,98,0,24194,3049,4549,744,270,73,386,149,9220,10494,22105,20,370,81,8,70,33148,8705,18074,11,143,52,5,37,27027,9056,18757,12,179,62,6,50,28122,6400,2362,38,121,33,38,55,8373,9047,10663,22765,60,533,116,17,64,34218,40094,250463,20835,5325,1119,7172,404,325412,17867,131442,22526,2654,1163,6188,364,0,182204,17143,105989,11948,1838,2646,2635,628,376728,3317314,343509,67993,13575,88876,9067,0,4217062,596120,546910,590928,601443,659603,643711,631638,603299,535129,529172,486937,531396,536672,568864,546625,525782,491614,378340,79.31
25,DAMAN & DIU,59,6,8,38,4,5,0,0,120,53,0,2,38,3,2,0,0,98,59,6,8,35,4,5,0,0,117,59,6,8,35,4,5,0,0,117,9681,1095,9059,5349,488,2306,0,0,27978,332,80,270,293,90,98,0,0,1163,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,59,6,8,38,3,5,0,119,21,5,7,19,4,4,0,60,52,5,8,37,4,5,0,111,59,6,8,35,4,5,0,117,59,6,8,35,4,5,0,117,59,6,8,38,4,5,0,120,59,6,8,38,4,5,0,120,10,6,8,36,4,5,0,69,44,0,1,32,1,1,0,0,79,23,0,1,21,1,1,0,0,47,11,5,3,5,1,3,0,28,53,0,2,38,2,1,0,96,44,0,2,33,2,1,0,82,53,0,2,38,2,1,0,96,14,1,0,8,1,0,0,25,24,53,0,0,38,3,1,0,95,323,53,188,190,33,59,0,846,258,69,223,151,33,61,0,0,795,74,11,42,142,57,37,0,4874,443,3849,2739,224,866,0,0,12995,1905,1992,1933,2010,1917,1824,1730,1672,1810,1670,1768,1627,1716,1607,1562,1547,1498,1440,87.07
26,DADRA & NAGAR HAVELI,177,128,7,1,1,9,0,0,323,165,114,1,1,1,5,0,0,287,177,128,7,0,1,9,0,0,322,177,128,7,1,1,9,0,0,323,9078,37947,8046,50,173,3680,0,0,58974,456,1355,427,3,23,147,0,0,2411,4,0,0,0,0,0,0,4,6,0,0,0,0,0,0,6,157,124,7,1,1,9,0,299,58,65,7,1,1,9,0,141,67,93,7,1,1,9,0,178,177,128,7,1,1,9,0,323,177,128,7,0,1,9,0,322,177,128,7,1,1,9,0,323,176,128,7,1,1,9,0,322,21,88,7,1,1,9,0,127,129,108,1,0,0,1,0,0,239,111,101,2,0,0,2,0,0,216,87,26,3,1,0,3,0,120,165,114,0,0,0,4,0,283,34,14,0,0,0,4,0,52,165,114,0,0,0,4,0,283,107,1,0,1,0,0,0,24,109,160,114,0,1,0,3,0,278,463,1058,195,2,6,95,0,1819,261,831,332,3,6,91,0,0,1524,195,524,95,0,17,56,0,4512,18209,3258,50,65,1478,0,0,27572,4831,3940,4053,2221,4161,4161,3993,4042,3925,4271,3620,3565,1794,3740,3576,3458,3548,3057,77.65
27,MAHARASHTRA,53151,29353,946,95,4657,2158,7853,0,98213,47967,25015,483,38,4382,947,6644,0,85476,52525,28828,922,82,4477,2119,7392,0,96345,52663,28954,940,90,4609,2143,7694,0,97093,3788993,6408597,577984,7573,1982850,916785,2010614,350379,16043775,157865,219522,29157,398,121028,36348,102020,0,666338,2572,72,12,9,52,15,403,3135,2892,119,3,10,0,1,7,3032,51022,29083,936,93,4649,2134,7822,95739,44408,25960,915,80,4559,2081,7620,85623,40211,25383,890,75,4370,1953,6964,79846,52166,28871,940,90,4604,2139,7680,96490,51895,28714,922,81,4465,2107,7367,95551,52930,29300,944,95,4657,2158,7851,97935,41842,27297,924,84,4592,2114,7539,84392,18860,21910,915,74,4578,2057,7499,55893,47174,25350,682,64,3699,1450,6112,0,84531,33058,19372,576,60,3379,1321,5551,0,63317,12911,4290,303,65,249,929,1039,19786,47446,24161,290,29,4223,635,6274,83058,39804,18567,203,7,2851,467,3871,65770,44138,20639,258,12,3688,573,5234,74542,35992,2695,36,52,63,64,511,7138,39413,47631,24598,442,30,3758,906,5779,83144,169023,220060,14101,431,41385,24337,46876,516213,74117,106059,16217,231,34701,20973,36083,0,288381,83748,113463,12940,167,86327,15375,65937,1802256,3056026,249509,4349,895519,391712,959883,160007,7519261,1089182,1069026,1054684,1051450,1055331,1065506,1086359,1052976,1077858,950710,948262,937904,936237,933716,946222,957967,908243,875301,82.91
28,ANDHRA PRADESH,38793,10084,171,2,174,1476,9735,0,60435,34639,5433,145,1,173,450,5832,0,46673,38748,10041,96,2,174,1277,9073,0,59411,38757,10063,126,2,172,1274,9653,0,60047,2434032,1140226,64969,46,37944,433893,1500200,0,5611310,99912,54749,3018,3,2084,14397,102737,0,276900,7604,70,2,0,3,50,175,7904,9076,346,2,0,1,38,171,9634,36448,9534,161,2,135,1358,9323,56961,17487,6262,146,2,86,1136,7932,33051,20185,7451,162,2,51,1281,7822,36954,38603,10052,126,2,172,1273,9645,59873,38586,10029,95,2,174,1271,9065,59222,36421,9784,171,2,160,1471,9553,57562,35381,9467,170,2,154,1389,9359,55922,4450,4519,153,1,126,1032,7504,17785,9963,2795,32,0,81,235,2889,0,15995,12802,3307,51,0,110,349,3462,0,20081,6060,3833,57,1,158,856,4130,15095,34426,5368,25,1,155,71,5515,45561,14666,3455,21,0,35,44,2429,20650,25899,4554,22,1,132,64,4715,35387,25736,2143,9,2,2,85,1446,2267,29423,34016,5318,101,1,130,396,5437,45399,124687,68730,1835,4,971,13631,60301,270159,49752,27841,1757,2,950,7852,42401,0,130555,50160,26908,1261,1,1134,6545,60336,1184344,547106,36644,16,18418,199741,724833,0,2711102,357633,375445,370628,368883,365754,360049,360440,341376,331997,329712,347250,344353,344396,342634,338934,340751,323072,311772,67.66
29,KARNATAKA,26790,30097,711,466,59,2856,760,0,61739,22603,24596,37,213,52,536,639,0,48676,26729,29563,703,382,57,2843,635,0,60912,26770,29669,708,457,54,2844,740,0,61242,1037875,5129691,342485,40477,12547,1110573,112299,554426,8340373,63811,183344,12245,1698,1047,44082,6435,0,312662,2015,36,6,7,2,14,66,2146,4673,676,6,29,0,3,4,5391,23611,28709,695,427,58,2764,720,56984,13763,21653,608,378,58,2532,576,39568,18303,24837,666,389,54,2594,580,47423,26647,29659,708,457,54,2844,740,61109,26439,29511,703,382,57,2843,635,60570,26778,30095,711,466,59,2856,759,61724,25497,29463,711,456,59,2841,754,59781,3564,13467,684,296,55,2500,575,21141,18336,22778,227,254,32,1226,302,0,43155,7836,9078,108,145,22,584,185,0,17958,7867,3501,286,273,16,1199,579,13721,22437,24373,15,192,39,510,501,48067,17817,19200,3,114,30,361,233,37758,18789,20172,5,130,31,387,274,39788,20820,4483,23,152,2,71,44,9862,25595,21462,22359,17,181,30,445,267,44761,78689,229728,11491,2007,480,37513,3434,363342,34381,108233,9875,1087,353,32185,2435,0,188549,29356,75007,2367,611,694,11849,3990,500328,2519183,161482,22605,5168,504280,55831,265450,4034327,587709,567557,554708,543173,534363,514168,505374,498994,482817,548958,536006,524279,519542,489951,480188,472662,462741,438811,75.6
